Voltage,Current,Power
19.54554372,1.953125,38.17489008
19.57415769,1.923828125,37.6573151
19.59396737,1.875,36.73868881
19.7040211,1.767578125,34.82839668
19.67760821,1.7578125,34.58954568
19.68641251,1.85546875,36.5275232
19.67540713,1.845703125,36.31496043
19.64239101,1.748046875,34.33582022
19.67100498,1.8359375,36.11473571
19.69521681,1.728515625,34.04348999
19.71722755,1.796875,35.42939326
19.7128254,1.767578125,34.84395896
19.67320606,1.81640625,35.73453444
19.67980928,1.728515625,34.01685784
19.71062433,1.728515625,34.07012213
19.72603185,1.787109375,35.25257645
19.7040211,1.77734375,35.02081876
19.730434,1.826171875,36.03116365
19.67100498,1.77734375,34.96213776
19.65779853,1.796875,35.32260674
19.64459209,1.796875,35.2988764
19.64239101,1.806640625,35.48674157
19.65999961,1.748046875,34.36660088
19.67540713,1.796875,35.35424719
19.65999961,1.708984375,33.59863214
19.68641251,1.6796875,33.06702101
19.70622218,1.71875,33.87006937
19.66220068,1.767578125,34.75447582
19.63798886,1.69921875,33.36923889
19.63798886,1.71875,33.75279336
19.64018994,1.7578125,34.52377137
19.61597811,1.787109375,35.05589839
19.57855984,1.708984375,33.45945286
19.49712008,1.708984375,33.32027357
19.54554372,1.73828125,33.97565217
19.60057059,1.89453125,37.1338935
19.55214695,1.796875,35.13276404
19.5389405,1.77734375,34.72741378
19.56095125,1.806640625,35.33960918
19.56315232,1.85546875,36.29881778
19.59836952,1.875,36.74694284
19.65119531,1.884765625,37.03789741
19.64239101,1.796875,35.29492135
19.64018994,1.748046875,34.33197264
19.62478241,1.689453125,33.15514998
19.62258134,1.8359375,36.02583293
19.64459209,1.875,36.83361016
19.66880391,1.826171875,35.91861651
19.62038026,1.806640625,35.44697606
19.67540713,1.767578125,34.77781925
19.67650767,1.748046875,34.39545774
19.69961895,1.708984375,33.66634099
19.69301573,1.611328125,31.73191011
19.70182003,1.6796875,33.09290083
19.69961895,1.6015625,31.55017098
19.66660283,1.728515625,33.99403029
19.65779853,1.669921875,32.82698779
19.67320606,1.69921875,33.42908061
19.65119531,1.66015625,32.62405471
19.66220068,1.748046875,34.37044846
19.64239101,1.6796875,32.99307865
19.64899424,1.689453125,33.19605471
19.60277167,1.6796875,32.92653053
19.68861358,1.845703125,36.33933561
19.72603185,1.806640625,35.63785051
19.71722755,1.7578125,34.65918906
19.70182003,1.689453125,33.28530142
19.66440176,1.650390625,32.45394431
19.67320606,1.767578125,34.77392868
19.62698349,1.787109375,35.07556619
19.55434802,1.728515625,33.79999609
19.59176629,1.728515625,33.86467416
19.58516307,1.689453125,33.08821495
19.5653534,1.533203125,29.99766097
19.59616844,1.630859375,31.95859502
19.60277167,1.58203125,31.01219736
19.60717382,1.62109375,31.78506693
19.60497274,1.572265625,30.82422472
19.59176629,1.54296875,30.22948315
19.58956522,1.552734375,30.4173913
19.58296199,1.46484375,28.68597948
19.58076092,1.513671875,29.63884709
19.58296199,1.572265625,30.78961798
19.55875017,1.650390625,32.27957792
19.5389405,1.552734375,30.33878456
19.55214695,1.4453125,28.25896238
19.56975554,1.42578125,27.90219052
19.55434802,1.533203125,29.98078749
19.57415769,1.50390625,29.43769809
19.56315232,1.58203125,30.94951832
19.5477448,1.513671875,29.58887152
19.5301362,1.5234375,29.75294187
19.53233727,1.494140625,29.18405862
19.54994587,1.474609375,28.82853346
19.53453835,1.494140625,29.18734734
19.5301362,1.50390625,29.37149389
19.52793512,1.484375,28.9867787
19.53233727,1.552734375,30.32853151
19.494919,1.5234375,29.69929067
19.49712008,1.572265625,30.65465169
