Voltage,Current,Power
18.79277616023449,1.708984375,32.11656082071324
18.7773686370298,1.71875,32.27360234489497
18.541853639472397,1.69921875,31.506665363947235
18.69812994626282,1.826171875,34.145999022960424
18.678320273571078,1.71875,32.10336297020029
18.69152672203224,1.787109375,33.40380263800684
18.728944992672204,1.6796875,31.458774792379092
18.72014069369809,1.73828125,32.540869565217385
18.717939618954567,1.7578125,32.902628236443576
18.71353746946751,1.708984375,31.981143136297014
18.744352515876894,1.748046875,32.76600683927699
18.772966487542746,1.6796875,31.532717147044455
18.744352515876894,1.669921875,31.30160429897411
18.750955740107475,1.6796875,31.495745969711773
18.794977234978017,1.689453125,31.75323302393747
18.810384758182707,1.71875,32.330348803126526
18.825792281387393,1.73828125,32.72452173913043
18.794977234978017,1.69921875,31.9367777234978
18.761961113825112,1.689453125,31.697453834880317
18.73334714215926,1.66015625,31.100283341475336
18.695928871519296,1.6796875,31.403318026380067
18.720140693698095,1.650390625,30.895544699560332
18.74215144113337,1.708984375,32.03004396678066
18.764162188568637,1.689453125,31.701172447484122
18.750955740107475,1.669921875,31.312631167562287
18.748754665363947,1.669921875,31.30895554469956
18.748754665363947,1.669921875,31.30895554469956
18.79717830972154,1.708984375,32.12408402540302
18.74875466536395,1.7578125,32.95679531021007
18.72674391792868,1.66015625,31.089320957498785
18.70693424523693,1.611328125,30.143009281875912
18.753156814851,1.669921875,31.31630679042501
18.733347142159257,1.62109375,30.368511968734733
18.788374010747436,1.6015625,30.09075525158769
18.80818368343918,1.640625,30.8571763556424
18.825792281387393,1.611328125,30.334528578407422
18.790575085490964,1.58203125,29.727276990718128
18.801580459208598,1.58203125,29.744687835857352
18.82359120664387,1.494140625,28.125092330239376
18.803781533952122,1.6015625,30.115431362970195
18.816987982413288,1.5625,29.401543722520763
18.770765412799214,1.6015625,30.062553981436242
18.801580459208598,1.54296875,29.010251099169515
18.76856433805569,1.62109375,30.425602344894966
18.755357889594528,1.58203125,29.671562286272593
18.77296648754275,1.5234375,28.599441133365907
18.79717830972154,1.611328125,30.288422081094282
18.74875466536395,1.5625,29.294929164631174
18.755357889594528,1.572265625,29.48840449438202
18.728944992672204,1.630859375,30.54427552515877
18.753156814851,1.640625,30.76689789936492
18.779569711773327,1.54296875,28.97628920371275
18.799379384465073,1.689453125,31.760670249145093
18.766363263312165,1.484375,27.856320468978996
14.987117928676108,1.279296875,19.17297313141182
18.169872007816316,1.46484375,26.616023448949683
18.77076541279922,1.494140625,28.046163165608213
18.8015804592086,1.611328125,30.295515388373236
18.755357889594528,1.611328125,30.221035661944306
18.748754665363947,1.640625,30.759675622862726
18.739950366389834,1.71875,32.20928969223253
18.750955740107475,1.69921875,31.86197557401075
18.755357889594528,1.54296875,28.938931118710308
18.775167562286274,1.640625,30.80300928187592
18.744352515876894,1.73828125,32.582956521739135
18.779569711773327,1.5625,29.343077674645823
18.78177078651685,1.572265625,29.52993258426966
18.777368637029802,1.513671875,28.422774792379094
18.746553590620422,1.58203125,29.657633610161216
18.71353746946751,1.708984375,31.981143136297014
18.728944992672204,1.50390625,28.16657743038593
18.759760039081584,1.69921875,31.87693600390816
18.75095574010747,1.552734375,29.11525354176844
18.702532095749877,1.6015625,29.953274059599412
18.69812994626282,1.62109375,30.311421592574494
18.684923497801655,1.6015625,29.925072789447963
18.73334714215926,1.5234375,28.539083536883247
18.70693424523693,1.552734375,29.04689985344406
18.709135319980454,1.689453125,31.608207132388852
18.70253209574988,1.6796875,31.414409379579876
18.702532095749877,1.6796875,31.414409379579872
18.735548216902785,1.572265625,29.457258426966295
18.737749291646313,1.611328125,30.19266243282853
18.76196111382511,1.58203125,29.68200879335613
18.73554821690278,1.66015625,31.103937469467507
18.717939618954567,1.69921875,31.805873961895454
18.711336394723983,1.62109375,30.33283048363458
18.731146067415732,1.552734375,29.084494382022474
18.735548216902785,1.5625,29.2742940889106
18.735548216902785,1.50390625,28.176508060576456
18.717939618954567,1.611328125,30.160742550073277
18.706934245236933,1.5234375,28.49884513922814
18.717939618954567,1.54296875,28.881195896433805
18.702532095749874,1.669921875,31.23176746458231
18.67611919882755,1.689453125,31.5524279433317
18.704733170493405,1.66015625,31.052779677576943
18.71353746946751,1.572265625,29.422651685393255
18.69812994626282,1.591796875,29.763624816805077
18.706934245236926,1.62109375,30.325694186614548
18.687124572545187,1.6015625,29.9285979482169
