Voltage,Current,Power
2.7381369809477287,0.244140625,0.6684904738641916
2.7469412799218365,0.25390625,0.6974655593551538
3.015472398632145,0.25390625,0.765647288715193
3.0969121641426476,0.21484375,0.6653522227650219
3.2135691255495846,0.25390625,0.8159452857840742
3.385252955544699,0.2734375,0.9256551050317536
3.556936785539814,0.283203125,1.00733561309233
3.7594356619443086,0.3515625,1.321676599902296
3.9333205666829505,0.341796875,1.3443966780654617
4.135819443087445,0.2734375,1.1308881289692232
4.283291450903762,0.25390625,1.0875544699560333
4.505599999999999,0.341796875,1.5399999999999998
4.723506399609184,0.322265625,1.5222237420615536
5.064672984855887,0.322265625,1.6321700048851981
5.467469662921348,0.361328125,1.975550561797753
5.958309330727895,0.37109375,2.2110913531998047
6.3897199804592075,0.341796875,2.1839863214460182
7.034634880312652,0.322265625,2.267021006350757
7.783000293111869,0.3125,2.4321875915974593
8.282644259892527,0.380859375,3.154522716170005
9.00459677576942,0.341796875,3.0777430385930633
9.748560039081582,0.3125,3.0464250122129943
10.778663019052273,0.3515625,3.7893737176355646
11.883602540302883,0.33203125,3.945727405959942
12.979737762579383,0.419921875,5.45047581827064
13.884379482169027,0.56640625,7.864199316072301
14.892471714704444,0.869140625,12.943652173913042
15.62102745481192,1.064453125,16.627851489985343
16.53007132388862,1.484375,24.53682462139717
16.880042208109426,1.5625,26.375065950170978
17.278436736687837,1.66015625,28.68490473864192
17.478734538348807,1.767578125,30.895028822667324
17.674630190522716,1.875,33.139931607230096
17.78468392769907,1.9921875,35.43042501221299
18.141258036150465,2.12890625,38.62103761602345
18.552859013190034,2.138671875,39.67847777234978
18.671717049340494,2.236328125,41.75608597948216
18.739950366389838,2.2265625,41.72567073766487
18.94685139228139,2.236328125,42.37137664875428
18.949052467024917,2.255859375,42.746397655105035
18.951253541768438,2.373046875,44.972212994626275
19.109730923302394,2.32421875,44.41519491939423
19.230790034196385,2.265625,43.56975867122618
19.2483986321446,2.421875,46.617215437225205
19.246197557401075,2.265625,43.60466634098681
19.422283536883242,2.353515625,45.710647777234975
19.552146946751343,2.32421875,45.44346653639472
19.567554469956036,2.4609375,48.15452857840743
19.65559745969712,2.392578125,47.0275525158769
19.73483615046409,2.3828125,47.02441426477772
19.800868392769907,2.236328125,44.28123888617489
19.818476990718125,2.373046875,47.03017489008305
19.827281289692234,2.48046875,49.18095163654128
19.87570493404983,2.353515625,46.777782120175864
19.915324279433314,2.333984375,46.48205569125549
19.983557596482655,2.333984375,46.64131118710307
20.025378016609668,2.275390625,45.565557401074734
20.04298661455789,2.3046875,46.19282071323889
20.04078553981436,2.32421875,46.57916951636541
20.005568343917933,2.34375,46.888050806057656
20.084807034684907,2.236328125,44.91621885686371
20.115622081094283,2.1484375,43.217156814851
20.14203497801661,2.177734375,43.86400195407914
20.13102960429897,2.255859375,45.412771861260374
20.14643712750366,2.2265625,44.857301416707365
20.199262921348314,2.16796875,43.79137078651685
20.212469369809476,2.138671875,43.2278397655105
20.22567581827064,2.109375,42.66353492916463
20.216871519296532,2.1875,44.22440644846117
20.247686565705912,2.0703125,41.91903859306302
20.19486077186126,2.1875,44.17625793844651
20.219072594040064,2.12890625,43.04451001465561
20.223474743527113,2.28515625,46.21379970688813
20.245485490962388,2.1875,44.286999511480225
20.263094088910602,2.158203125,43.73187298485589
20.27409946262824,2.0703125,41.973721543722526
20.27850161211529,2.20703125,44.75528676111382
20.260893014167078,2.24609375,45.50786516853933
20.260893014167074,2.099609375,42.539960918417194
20.27850161211529,2.099609375,42.576932095749875
20.260893014167074,2.177734375,44.122843185149
20.30271343429409,2.1484375,43.61911089399121
20.28510483634587,2.177734375,44.17557010258915
20.27850161211529,2.021484375,40.99267415730337
20.313718808011725,1.982421875,40.27036052760137
20.32912633121641,2.05078125,41.690591108939905
20.320322032242306,2.05078125,41.672535417684415
20.291708060576454,2.060546875,41.81201563263312
20.27409946262824,2.177734375,44.151603321934545
20.326925256472887,2.158203125,43.86963361016121
20.326925256472883,2.021484375,41.0905617977528
20.331327405959943,2.119140625,43.084941866145584
20.342332779677573,2.041015625,41.51901905227161
20.335729555446996,2.03125,41.30695065950171
20.32912633121641,2.109375,42.88175085490962
20.364343527112847,2.041015625,41.563943331704934
20.348936003908157,2.177734375,44.31457743038593
20.32472418172936,2.16796875,44.06336687835857
20.324724181729362,2.197265625,44.65881778212018
20.351137078651686,2.158203125,43.92188764044944
20.276300537371764,2.20703125,44.75042892037128
20.252088715192965,2.16796875,43.905895456766
20.291708060576454,2.1484375,43.595466536394724
20.25208871519297,2.216796875,44.894766976062535
20.247686565705912,2.255859375,45.675933561309236
20.21907259404006,2.32421875,46.993547630679046
20.238882266731803,2.32421875,47.03958964338056
20.260893014167078,2.16796875,43.92498290180753
20.23007796775769,2.216796875,44.8459736199316
20.22127366878359,2.314453125,46.80119003419639
20.23668119198828,2.24609375,45.45348314606742
20.20146399609184,2.333984375,47.14990131900341
20.183855398143624,2.314453125,46.71458720078163
20.201463996091846,2.2265625,44.97982217879825
20.172850024425987,2.265625,45.704113336590126
20.203665070835363,2.255859375,45.57662725940399
20.223474743527113,2.236328125,45.22632535417684
20.238882266731803,2.236328125,45.26078163165608
20.214670444553004,2.333984375,47.180724963361016
20.236681191988275,2.216796875,44.86061162677088
20.23448011724475,2.1875,44.26292525647289
20.260893014167074,2.119140625,42.93568148510015
20.271898387884708,2.119140625,42.95900341963849
20.28510483634587,2.060546875,41.798409379579866
20.30711558378114,2.05078125,41.64545188080117
20.322523106985834,1.9921875,40.48627650219834
